model_name,provider,input_price,output_price,input_price_tier2,output_price_tier2,tier_threshold,is_reasoning,think_temp_fixed,requires_reasoning
o1,openai,15.0,60.0,,,," True"," 1"," 0"
o3-mini-2025-01-31,openai,1.1,4.4,,,," True"," 1"," 0"
o3-mini,openai,1.1,4.4,,,," True"," 1"," 0"
gpt-4.5-preview-2025-02-27,openai,75.0,150.0,,,," False"," 0"," 0"
gpt-4.1,openai,2.0,8.0,,,," False"," 0"," 0"
gpt-4.1-mini,openai,0.4,1.6,,,," False"," 0"," 0"
gpt-4.1-nano,openai,0.1,1.4,,,," False"," 0"," 0"
o3-2025-04-16,openai,10.0,40.0,,,," True"," 1"," 0"
o3-deep-research,openai,10.0,40.0,,,,True,1,0
o4-mini-2025-04-16,openai,1.1,4.4,,,," True"," 1"," 0"
o4-mini,openai,1.1,4.4,,,," True"," 1"," 0"
gpt-5.5,openai,5.0,30.0,10.0,45.0,272000,True,1,1
gpt-5.5-pro,openai,30.0,180.0,60.0,270.0,272000,True,1,1
gpt-5.4,openai,2.5,15.0,5.0,22.5,272000,True,1,1
gpt-5.4-pro,openai,30.0,180.0,60.0,270.0,272000,True,1,1
gpt-5.4-mini,openai,0.75,4.5,,,,True,1,1
gpt-5.4-nano,openai,0.2,1.25,,,,True,1,1
gpt-5.2,openai,1.75,14.0,,,,True,1,1
gpt-5.1,openai,1.25,10.0,,,,True,1,1
gpt-5,openai,1.25,10.0,,,," True"," 1",1
gpt-5-mini,openai,0.25,2.0,,,," True"," 1",1
gpt-5-nano,openai,0.05,0.4,,,," True"," 1",1
gpt-5-codex,openai,1.25,10.0,,,,True,1,1
gpt-5.1-codex,openai,1.25,10.0,,,,True,1,1
gpt-5.1-codex-max,openai,1.25,10.0,,,,True,1,1
gpt-5.1-codex-mini,openai,0.25,2.0,,,,True,1,1
gpt-5.2-codex,openai,1.75,14.0,,,,True,1,1
gpt-5.3-codex,openai,1.75,14.0,,,,True,1,1
gpt-5.2-pro,openai,21.0,168.0,,,,True,1,1
